date,product,category,price,discount,quantity_sold,profit,profit_margin,event
2022-07-25,NZXT Kraken X63,Liquid AIO Cooler,138.26,0%,872,38775.94,0.33,No Promo
2022-07-25,EKWB EK-KIT P240,Custom Liquid Cooler,228.29,3%,688,57992.89,0.4,No Promo
2022-07-25,Thermaltake Pacific CL360,Custom Liquid Cooler,286.59,3%,1074,120926.47,0.42,No Promo
2022-07-26,Noctua NH-D15,Air Cooler,86.24,2%,1319,30667.67,0.3,No Promo
2022-07-26,Dark Rock Pro 4,Air Cooler,78.19,0%,1175,24202.66,0.28,No Promo
2022-07-26,Corsair H100i,Liquid AIO Cooler,126.89,1%,985,41765.1,0.35,No Promo
2022-07-26,NZXT Kraken X63,Liquid AIO Cooler,135.65,1%,910,38093.49,0.33,No Promo
2022-07-26,EKWB EK-KIT P240,Custom Liquid Cooler,231.7,3%,686,60167.59,0.4,No Promo
2022-07-26,Thermaltake Pacific CL360,Custom Liquid Cooler,291.57,1%,1038,122040.37,0.42,No Promo
2022-07-27,Noctua NH-D15,Air Cooler,89.49,0%,1305,34574.73,0.3,No Promo
2022-07-27,Dark Rock Pro 4,Air Cooler,77.47,1%,1179,23436.28,0.28,No Promo
2022-07-27,Corsair H100i,Liquid AIO Cooler,129.29,0%,972,43539.96,0.35,No Promo
2022-07-27,NZXT Kraken X63,Liquid AIO Cooler,132.89,3%,924,36121.85,0.33,No Promo
2022-07-27,EKWB EK-KIT P240,Custom Liquid Cooler,230.92,2%,680,59111.88,0.4,No Promo
2022-07-27,Thermaltake Pacific CL360,Custom Liquid Cooler,285.85,3%,1070,119690.63,0.42,No Promo
2022-07-28,Noctua NH-D15,Air Cooler,85.79,3%,1316,30003.19,0.3,No Promo
2022-07-28,Dark Rock Pro 4,Air Cooler,79.43,0%,1167,25482.63,0.28,No Promo
2022-07-28,Corsair H100i,Liquid AIO Cooler,126.19,1%,981,40906.09,0.35,No Promo
2022-07-28,NZXT Kraken X63,Liquid AIO Cooler,134.42,2%,918,37294.12,0.33,No Promo
2022-07-28,EKWB EK-KIT P240,Custom Liquid Cooler,233.2,1%,662,59057.39,0.4,No Promo
2022-07-28,Thermaltake Pacific CL360,Custom Liquid Cooler,284.62,3%,1076,119036.55,0.42,No Promo
2022-07-29,Noctua NH-D15,Air Cooler,87.84,1%,1320,32793.48,0.3,No Promo
2022-07-29,Dark Rock Pro 4,Air Cooler,78.06,1%,1181,24177.28,0.28,No Promo
2022-07-29,Corsair H100i,Liquid AIO Cooler,127.41,1%,995,42697.8,0.35,No Promo
2022-07-29,NZXT Kraken X63,Liquid AIO Cooler,134.5,3%,927,37735.39,0.33,No Promo
2022-07-29,EKWB EK-KIT P240,Custom Liquid Cooler,235.67,0%,656,60142.26,0.4,No Promo
2022-07-29,Thermaltake Pacific CL360,Custom Liquid Cooler,290.85,2%,1047,122351.34,0.42,No Promo
2022-07-30,Noctua NH-D15,Air Cooler,86.23,3%,1331,30928.94,0.3,No Promo
2022-07-30,Dark Rock Pro 4,Air Cooler,78.69,0%,1173,24743.11,0.28,No Promo
2022-07-30,Corsair H100i,Liquid AIO Cooler,128.08,0%,996,43408.77,0.35,No Promo
2022-07-30,NZXT Kraken X63,Liquid AIO Cooler,138.9,0%,875,39471.03,0.33,No Promo
2022-07-30,EKWB EK-KIT P240,Custom Liquid Cooler,233.82,2%,678,60901.07,0.4,No Promo
2022-07-30,Thermaltake Pacific CL360,Custom Liquid Cooler,284.64,3%,1099,121594.42,0.42,No Promo
2022-07-31,Noctua NH-D15,Air Cooler,87.22,2%,1329,32200.15,0.3,No Promo
2022-07-31,Dark Rock Pro 4,Air Cooler,77.75,1%,1179,23759.81,0.28,No Promo
2022-07-31,Corsair H100i,Liquid AIO Cooler,127.36,0%,1005,43076.78,0.35,No Promo
2022-07-31,NZXT Kraken X63,Liquid AIO Cooler,137.38,1%,895,39010.28,0.33,No Promo
2022-07-31,EKWB EK-KIT P240,Custom Liquid Cooler,233.4,1%,671,59994.24,0.4,No Promo
2022-07-31,Thermaltake Pacific CL360,Custom Liquid Cooler,288.58,2%,1076,123296.49,0.42,No Promo
2022-08-01,Noctua NH-D15,Air Cooler,87.29,3%,1354,32898.54,0.3,Back-to-School
2022-08-01,Dark Rock Pro 4,Air Cooler,76.79,4%,1258,24150.58,0.28,Back-to-School
2022-08-01,Corsair H100i,Liquid AIO Cooler,126.09,3%,1035,43052.69,0.35,Back-to-School
2022-08-01,NZXT Kraken X63,Liquid AIO Cooler,132.99,5%,934,36610.18,0.33,Back-to-School
2022-08-01,EKWB EK-KIT P240,Custom Liquid Cooler,232.79,3%,688,61091.85,0.4,Back-to-School
2022-08-01,Thermaltake Pacific CL360,Custom Liquid Cooler,287.99,4%,1084,123571.88,0.42,Back-to-School
2022-08-02,Noctua NH-D15,Air Cooler,87.29,3%,1326,32218.22,0.3,Back-to-School
2022-08-02,Dark Rock Pro 4,Air Cooler,77.59,3%,1225,24496.94,0.28,Back-to-School
2022-08-02,Corsair H100i,Liquid AIO Cooler,126.09,3%,1015,42220.75,0.35,Back-to-School
2022-08-02,NZXT Kraken X63,Liquid AIO Cooler,134.39,4%,946,38404.86,0.33,Back-to-School
2022-08-02,EKWB EK-KIT P240,Custom Liquid Cooler,230.39,4%,691,59699.91,0.4,Back-to-School
2022-08-02,Thermaltake Pacific CL360,Custom Liquid Cooler,287.99,4%,1112,126763.77,0.42,Back-to-School
2022-08-03,Noctua NH-D15,Air Cooler,87.29,3%,1327,32242.52,0.3,Back-to-School
2022-08-03,Dark Rock Pro 4,Air Cooler,75.99,5%,1250,22997.12,0.28,Back-to-School
2022-08-03,Corsair H100i,Liquid AIO Cooler,126.09,3%,1043,43385.46,0.35,Back-to-School
2022-08-03,NZXT Kraken X63,Liquid AIO Cooler,134.39,4%,927,37633.51,0.33,Back-to-School
2022-08-03,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,684,57453.61,0.4,Back-to-School
2022-08-03,Thermaltake Pacific CL360,Custom Liquid Cooler,290.99,3%,1078,126121.8,0.42,Back-to-School
2022-08-04,Noctua NH-D15,Air Cooler,85.49,5%,1382,31091.55,0.3,Back-to-School
2022-08-04,Dark Rock Pro 4,Air Cooler,77.59,3%,1203,24056.99,0.28,Back-to-School
2022-08-04,Corsair H100i,Liquid AIO Cooler,123.49,5%,1050,40946.85,0.35,Back-to-School
2022-08-04,NZXT Kraken X63,Liquid AIO Cooler,132.99,5%,945,37041.35,0.33,Back-to-School
2022-08-04,EKWB EK-KIT P240,Custom Liquid Cooler,230.39,4%,673,58144.78,0.4,Back-to-School
2022-08-04,Thermaltake Pacific CL360,Custom Liquid Cooler,284.99,5%,1095,121540.95,0.42,Back-to-School
2022-08-05,Noctua NH-D15,Air Cooler,87.29,3%,1339,32534.08,0.3,Back-to-School
2022-08-05,Dark Rock Pro 4,Air Cooler,77.59,3%,1241,24816.9,0.28,Back-to-School
2022-08-05,Corsair H100i,Liquid AIO Cooler,124.79,4%,1021,41143.13,0.35,Back-to-School
2022-08-05,NZXT Kraken X63,Liquid AIO Cooler,135.79,3%,932,39141.2,0.33,Back-to-School
2022-08-05,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,704,59133.54,0.4,Back-to-School
2022-08-05,Thermaltake Pacific CL360,Custom Liquid Cooler,290.99,3%,1074,125653.81,0.42,Back-to-School
2022-08-06,Noctua NH-D15,Air Cooler,87.29,3%,1303,31659.38,0.3,Back-to-School
2022-08-06,Dark Rock Pro 4,Air Cooler,77.59,3%,1206,24116.99,0.28,Back-to-School
2022-08-06,Corsair H100i,Liquid AIO Cooler,124.79,4%,1041,41949.07,0.35,Back-to-School
2022-08-06,NZXT Kraken X63,Liquid AIO Cooler,135.79,3%,925,38847.22,0.33,Back-to-School
2022-08-06,EKWB EK-KIT P240,Custom Liquid Cooler,232.79,3%,665,59049.54,0.4,Back-to-School
2022-08-06,Thermaltake Pacific CL360,Custom Liquid Cooler,284.99,5%,1119,124204.86,0.42,Back-to-School
2022-08-07,Noctua NH-D15,Air Cooler,85.49,5%,1374,30911.57,0.3,Back-to-School
2022-08-07,Dark Rock Pro 4,Air Cooler,77.59,3%,1250,24996.88,0.28,Back-to-School
2022-08-07,Corsair H100i,Liquid AIO Cooler,124.79,4%,1048,42231.15,0.35,Back-to-School
2022-08-07,NZXT Kraken X63,Liquid AIO Cooler,134.39,4%,936,37998.89,0.33,Back-to-School
2022-08-07,EKWB EK-KIT P240,Custom Liquid Cooler,230.39,4%,674,58231.17,0.4,Back-to-School
2022-08-07,Thermaltake Pacific CL360,Custom Liquid Cooler,287.99,4%,1113,126877.77,0.42,Back-to-School
2022-08-08,Noctua NH-D15,Air Cooler,86.39,4%,1354,31680.08,0.3,Back-to-School
2022-08-08,Dark Rock Pro 4,Air Cooler,76.79,4%,1247,23939.41,0.28,Back-to-School
2022-08-08,Corsair H100i,Liquid AIO Cooler,123.49,5%,1070,41726.79,0.35,Back-to-School
2022-08-08,NZXT Kraken X63,Liquid AIO Cooler,134.39,4%,948,38486.05,0.33,Back-to-School
2022-08-08,EKWB EK-KIT P240,Custom Liquid Cooler,230.39,4%,682,58922.34,0.4,Back-to-School
2022-08-08,Thermaltake Pacific CL360,Custom Liquid Cooler,287.99,4%,1093,124597.85,0.42,Back-to-School
2022-08-09,Noctua NH-D15,Air Cooler,87.29,3%,1325,32193.92,0.3,Back-to-School
2022-08-09,Dark Rock Pro 4,Air Cooler,76.79,4%,1249,23977.8,0.28,Back-to-School
2022-08-09,Corsair H100i,Liquid AIO Cooler,123.49,5%,1050,40946.85,0.35,Back-to-School
2022-08-09,NZXT Kraken X63,Liquid AIO Cooler,134.39,4%,919,37308.73,0.33,Back-to-School
2022-08-09,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,687,57705.6,0.4,Back-to-School
2022-08-09,Thermaltake Pacific CL360,Custom Liquid Cooler,287.99,4%,1116,127219.76,0.42,Back-to-School
2022-08-10,Noctua NH-D15,Air Cooler,86.39,4%,1318,30837.77,0.3,Back-to-School
2022-08-10,Dark Rock Pro 4,Air Cooler,76.79,4%,1225,23517.06,0.28,Back-to-School
2022-08-10,Corsair H100i,Liquid AIO Cooler,124.79,4%,1023,41223.73,0.35,Back-to-School
2022-08-10,NZXT Kraken X63,Liquid AIO Cooler,132.99,5%,962,37707.71,0.33,Back-to-School
2022-08-10,EKWB EK-KIT P240,Custom Liquid Cooler,230.39,4%,674,58231.17,0.4,Back-to-School
2022-08-10,Thermaltake Pacific CL360,Custom Liquid Cooler,287.99,4%,1098,125167.83,0.42,Back-to-School
2022-08-11,Noctua NH-D15,Air Cooler,86.39,4%,1356,31726.87,0.3,Back-to-School
2022-08-11,Dark Rock Pro 4,Air Cooler,75.99,5%,1246,22923.53,0.28,Back-to-School
2022-08-11,Corsair H100i,Liquid AIO Cooler,126.09,3%,1015,42220.75,0.35,Back-to-School
2022-08-11,NZXT Kraken X63,Liquid AIO Cooler,135.79,3%,920,38637.24,0.33,Back-to-School
2022-08-11,EKWB EK-KIT P240,Custom Liquid Cooler,232.79,3%,679,60292.69,0.4,Back-to-School
2022-08-11,Thermaltake Pacific CL360,Custom Liquid Cooler,290.99,3%,1083,126706.78,0.42,Back-to-School
2022-08-12,Noctua NH-D15,Air Cooler,86.39,4%,1352,31633.28,0.3,Back-to-School
2022-08-12,Dark Rock Pro 4,Air Cooler,77.59,3%,1247,24936.88,0.28,Back-to-School
2022-08-12,Corsair H100i,Liquid AIO Cooler,126.09,3%,1025,42636.72,0.35,Back-to-School
2022-08-12,NZXT Kraken X63,Liquid AIO Cooler,135.79,3%,919,38595.24,0.33,Back-to-School
2022-08-12,EKWB EK-KIT P240,Custom Liquid Cooler,230.39,4%,687,59354.33,0.4,Back-to-School
2022-08-12,Thermaltake Pacific CL360,Custom Liquid Cooler,287.99,4%,1107,126193.79,0.42,Back-to-School
2022-08-13,Noctua NH-D15,Air Cooler,86.39,4%,1369,32031.04,0.3,Back-to-School
2022-08-13,Dark Rock Pro 4,Air Cooler,76.79,4%,1247,23939.41,0.28,Back-to-School
2022-08-13,Corsair H100i,Liquid AIO Cooler,124.79,4%,1057,42593.82,0.35,Back-to-School
2022-08-13,NZXT Kraken X63,Liquid AIO Cooler,135.79,3%,920,38637.24,0.33,Back-to-School
2022-08-13,EKWB EK-KIT P240,Custom Liquid Cooler,232.79,3%,664,58960.74,0.4,Back-to-School
2022-08-13,Thermaltake Pacific CL360,Custom Liquid Cooler,287.99,4%,1084,123571.88,0.42,Back-to-School
2022-08-14,Noctua NH-D15,Air Cooler,85.49,5%,1349,30349.13,0.3,Back-to-School
2022-08-14,Dark Rock Pro 4,Air Cooler,75.99,5%,1279,23530.66,0.28,Back-to-School
2022-08-14,Corsair H100i,Liquid AIO Cooler,126.09,3%,1008,41929.57,0.35,Back-to-School
2022-08-14,NZXT Kraken X63,Liquid AIO Cooler,134.39,4%,933,37877.09,0.33,Back-to-School
2022-08-14,EKWB EK-KIT P240,Custom Liquid Cooler,232.79,3%,688,61091.85,0.4,Back-to-School
2022-08-14,Thermaltake Pacific CL360,Custom Liquid Cooler,287.99,4%,1078,122887.9,0.42,Back-to-School
2022-08-15,Noctua NH-D15,Air Cooler,85.2,3%,1311,29115.46,0.3,No Promo
2022-08-15,Dark Rock Pro 4,Air Cooler,79.26,0%,1177,25503.02,0.28,No Promo
2022-08-15,Corsair H100i,Liquid AIO Cooler,125.38,1%,1002,40964.93,0.35,No Promo
2022-08-15,NZXT Kraken X63,Liquid AIO Cooler,136.63,0%,875,37482.72,0.33,No Promo
2022-08-15,EKWB EK-KIT P240,Custom Liquid Cooler,233.21,1%,664,59238.29,0.4,No Promo
2022-08-15,Thermaltake Pacific CL360,Custom Liquid Cooler,294.99,1%,1055,127654.46,0.42,No Promo
2022-08-16,Noctua NH-D15,Air Cooler,86.33,3%,1319,30787.89,0.3,No Promo
2022-08-16,Dark Rock Pro 4,Air Cooler,77.51,1%,1208,24058.72,0.28,No Promo
2022-08-16,Corsair H100i,Liquid AIO Cooler,126.36,2%,1023,42827.12,0.35,No Promo
2022-08-16,NZXT Kraken X63,Liquid AIO Cooler,137.92,0%,868,38298.93,0.33,No Promo
2022-08-16,EKWB EK-KIT P240,Custom Liquid Cooler,233.21,2%,678,60487.94,0.4,No Promo
2022-08-16,Thermaltake Pacific CL360,Custom Liquid Cooler,288.04,2%,1087,123969.96,0.42,No Promo
2022-08-17,Noctua NH-D15,Air Cooler,89.09,0%,1304,34028.04,0.3,No Promo
2022-08-17,Dark Rock Pro 4,Air Cooler,78.23,1%,1194,24641.65,0.28,No Promo
2022-08-17,Corsair H100i,Liquid AIO Cooler,126.88,0%,1006,42638.72,0.35,No Promo
2022-08-17,NZXT Kraken X63,Liquid AIO Cooler,138.62,0%,871,39045.69,0.33,No Promo
2022-08-17,EKWB EK-KIT P240,Custom Liquid Cooler,232.06,2%,657,57857.06,0.4,No Promo
2022-08-17,Thermaltake Pacific CL360,Custom Liquid Cooler,292.96,1%,1038,123483.11,0.42,No Promo
2022-08-18,Noctua NH-D15,Air Cooler,87.49,1%,1295,31728.89,0.3,No Promo
2022-08-18,Dark Rock Pro 4,Air Cooler,78.42,0%,1163,24221.07,0.28,No Promo
2022-08-18,Corsair H100i,Liquid AIO Cooler,124.33,2%,998,39759.16,0.35,No Promo
2022-08-18,NZXT Kraken X63,Liquid AIO Cooler,133.08,3%,937,36814.7,0.33,No Promo
2022-08-18,EKWB EK-KIT P240,Custom Liquid Cooler,231.94,2%,668,58745.43,0.4,No Promo
2022-08-18,Thermaltake Pacific CL360,Custom Liquid Cooler,294.89,1%,1071,129474.49,0.42,No Promo
2022-08-19,Noctua NH-D15,Air Cooler,86.22,2%,1311,30451.18,0.3,No Promo
2022-08-19,Dark Rock Pro 4,Air Cooler,76.97,3%,1226,23753.01,0.28,No Promo
2022-08-19,Corsair H100i,Liquid AIO Cooler,126.01,2%,1009,41894.9,0.35,No Promo
2022-08-19,NZXT Kraken X63,Liquid AIO Cooler,134.05,2%,912,36712.75,0.33,No Promo
2022-08-19,EKWB EK-KIT P240,Custom Liquid Cooler,232.49,2%,669,59206.98,0.4,No Promo
2022-08-19,Thermaltake Pacific CL360,Custom Liquid Cooler,293.27,1%,1057,126078.77,0.42,No Promo
2022-08-20,Noctua NH-D15,Air Cooler,86.67,2%,1291,30564.93,0.3,No Promo
2022-08-20,Dark Rock Pro 4,Air Cooler,75.94,3%,1230,22572.72,0.28,No Promo
2022-08-20,Corsair H100i,Liquid AIO Cooler,128.29,0%,977,42789.66,0.35,No Promo
2022-08-20,NZXT Kraken X63,Liquid AIO Cooler,133.56,3%,912,36269.21,0.33,No Promo
2022-08-20,EKWB EK-KIT P240,Custom Liquid Cooler,237.51,0%,660,61717.28,0.4,No Promo
2022-08-20,Thermaltake Pacific CL360,Custom Liquid Cooler,296.66,0%,1036,127077.81,0.42,No Promo
2022-08-21,Noctua NH-D15,Air Cooler,88.66,0%,1302,33422.91,0.3,No Promo
2022-08-21,Dark Rock Pro 4,Air Cooler,76.1,3%,1209,22371.3,0.28,No Promo
2022-08-21,Corsair H100i,Liquid AIO Cooler,127.81,1%,1018,44092.05,0.35,No Promo
2022-08-21,NZXT Kraken X63,Liquid AIO Cooler,137.08,1%,899,38911.35,0.33,No Promo
2022-08-21,EKWB EK-KIT P240,Custom Liquid Cooler,231.57,1%,648,56751.93,0.4,No Promo
2022-08-21,Thermaltake Pacific CL360,Custom Liquid Cooler,294.5,0%,1023,123277.74,0.42,No Promo
2022-08-22,Noctua NH-D15,Air Cooler,88.46,0%,1282,32653.88,0.3,No Promo
2022-08-22,Dark Rock Pro 4,Air Cooler,78.49,1%,1192,24914.52,0.28,No Promo
2022-08-22,Corsair H100i,Liquid AIO Cooler,124.71,3%,1039,41783.92,0.35,No Promo
2022-08-22,NZXT Kraken X63,Liquid AIO Cooler,135.9,2%,919,38698.31,0.33,No Promo
2022-08-22,EKWB EK-KIT P240,Custom Liquid Cooler,237.62,0%,650,60855.95,0.4,No Promo
2022-08-22,Thermaltake Pacific CL360,Custom Liquid Cooler,288.23,2%,1050,119942.66,0.42,No Promo
2022-08-23,Noctua NH-D15,Air Cooler,87.76,1%,1301,32220.78,0.3,No Promo
2022-08-23,Dark Rock Pro 4,Air Cooler,76.3,3%,1244,23271.01,0.28,No Promo
2022-08-23,Corsair H100i,Liquid AIO Cooler,123.59,3%,1009,39448.8,0.35,No Promo
2022-08-23,NZXT Kraken X63,Liquid AIO Cooler,134.36,3%,912,36994.01,0.33,No Promo
2022-08-23,EKWB EK-KIT P240,Custom Liquid Cooler,233.61,1%,659,59057.68,0.4,No Promo
2022-08-23,Thermaltake Pacific CL360,Custom Liquid Cooler,292.54,0%,1029,121986.64,0.42,No Promo
2022-08-24,Noctua NH-D15,Air Cooler,87.61,1%,1317,32415.17,0.3,No Promo
2022-08-24,Dark Rock Pro 4,Air Cooler,78.98,0%,1183,25295.6,0.28,No Promo
2022-08-24,Corsair H100i,Liquid AIO Cooler,126.64,1%,982,41385.71,0.35,No Promo
2022-08-24,NZXT Kraken X63,Liquid AIO Cooler,135.38,1%,887,36888.51,0.33,No Promo
2022-08-24,EKWB EK-KIT P240,Custom Liquid Cooler,234.93,0%,654,59474.91,0.4,No Promo
2022-08-24,Thermaltake Pacific CL360,Custom Liquid Cooler,291.19,1%,1041,122004.21,0.42,No Promo
2022-08-25,Noctua NH-D15,Air Cooler,85.55,3%,1309,29530.76,0.3,No Promo
2022-08-25,Dark Rock Pro 4,Air Cooler,77.53,1%,1218,24284.86,0.28,No Promo
2022-08-25,Corsair H100i,Liquid AIO Cooler,123.17,3%,1019,39415.35,0.35,No Promo
2022-08-25,NZXT Kraken X63,Liquid AIO Cooler,137.87,0%,872,38431.28,0.33,No Promo
2022-08-25,EKWB EK-KIT P240,Custom Liquid Cooler,235.65,0%,662,60676.95,0.4,No Promo
2022-08-25,Thermaltake Pacific CL360,Custom Liquid Cooler,292.97,0%,1027,122191.81,0.42,No Promo
2022-08-26,Noctua NH-D15,Air Cooler,86.46,2%,1294,30361.96,0.3,No Promo
2022-08-26,Dark Rock Pro 4,Air Cooler,78.14,0%,1196,24574.08,0.28,No Promo
2022-08-26,Corsair H100i,Liquid AIO Cooler,125.94,2%,996,41285.05,0.35,No Promo
2022-08-26,NZXT Kraken X63,Liquid AIO Cooler,135.28,1%,881,36549.45,0.33,No Promo
2022-08-26,EKWB EK-KIT P240,Custom Liquid Cooler,238.02,0%,642,60363.37,0.4,No Promo
2022-08-26,Thermaltake Pacific CL360,Custom Liquid Cooler,288.38,3%,1100,125819.59,0.42,No Promo
2022-08-27,Noctua NH-D15,Air Cooler,88.98,0%,1262,32793.04,0.3,No Promo
2022-08-27,Dark Rock Pro 4,Air Cooler,76.43,3%,1230,23172.25,0.28,No Promo
2022-08-27,Corsair H100i,Liquid AIO Cooler,129.02,0%,976,43455.22,0.35,No Promo
2022-08-27,NZXT Kraken X63,Liquid AIO Cooler,132.8,3%,909,35454.65,0.33,No Promo
2022-08-27,EKWB EK-KIT P240,Custom Liquid Cooler,234.81,1%,669,60755.4,0.4,No Promo
2022-08-27,Thermaltake Pacific CL360,Custom Liquid Cooler,294.66,1%,1060,127901.12,0.42,No Promo
2022-08-28,Noctua NH-D15,Air Cooler,87.03,2%,1304,31350.0,0.3,No Promo
2022-08-28,Dark Rock Pro 4,Air Cooler,75.8,3%,1232,22431.48,0.28,No Promo
2022-08-28,Corsair H100i,Liquid AIO Cooler,125.46,1%,996,40806.7,0.35,No Promo
2022-08-28,NZXT Kraken X63,Liquid AIO Cooler,133.64,3%,932,37135.5,0.33,No Promo
2022-08-28,EKWB EK-KIT P240,Custom Liquid Cooler,230.41,2%,667,57638.57,0.4,No Promo
2022-08-28,Thermaltake Pacific CL360,Custom Liquid Cooler,291.8,1%,1040,122522.5,0.42,No Promo
2022-08-29,Noctua NH-D15,Air Cooler,85.76,3%,1327,30212.29,0.3,No Promo
2022-08-29,Dark Rock Pro 4,Air Cooler,75.88,3%,1209,22109.61,0.28,No Promo
2022-08-29,Corsair H100i,Liquid AIO Cooler,122.71,3%,1027,39250.11,0.35,No Promo
2022-08-29,NZXT Kraken X63,Liquid AIO Cooler,134.06,3%,924,37207.46,0.33,No Promo
2022-08-29,EKWB EK-KIT P240,Custom Liquid Cooler,232.95,2%,670,59599.32,0.4,No Promo
2022-08-29,Thermaltake Pacific CL360,Custom Liquid Cooler,289.13,1%,1048,120660.19,0.42,No Promo
2022-08-30,Noctua NH-D15,Air Cooler,86.72,2%,1329,31537.69,0.3,No Promo
2022-08-30,Dark Rock Pro 4,Air Cooler,76.61,3%,1240,23577.15,0.28,No Promo
2022-08-30,Corsair H100i,Liquid AIO Cooler,126.09,2%,1001,41636.21,0.35,No Promo
2022-08-30,NZXT Kraken X63,Liquid AIO Cooler,135.13,2%,921,38073.61,0.33,No Promo
2022-08-30,EKWB EK-KIT P240,Custom Liquid Cooler,229.95,3%,668,57419.77,0.4,No Promo
2022-08-30,Thermaltake Pacific CL360,Custom Liquid Cooler,290.8,1%,1034,120777.4,0.42,No Promo
2022-08-31,Noctua NH-D15,Air Cooler,86.93,1%,1307,31285.26,0.3,No Promo
2022-08-31,Dark Rock Pro 4,Air Cooler,78.28,0%,1181,24426.5,0.28,No Promo
2022-08-31,Corsair H100i,Liquid AIO Cooler,123.17,3%,1007,38946.46,0.35,No Promo
2022-08-31,NZXT Kraken X63,Liquid AIO Cooler,137.38,0%,885,38574.85,0.33,No Promo
2022-08-31,EKWB EK-KIT P240,Custom Liquid Cooler,235.3,0%,644,58802.18,0.4,No Promo
2022-08-31,Thermaltake Pacific CL360,Custom Liquid Cooler,283.57,3%,1062,116366.99,0.42,No Promo
2022-09-01,Noctua NH-D15,Air Cooler,88.87,0%,1310,33898.93,0.3,No Promo
2022-09-01,Dark Rock Pro 4,Air Cooler,77.33,1%,1219,24064.15,0.28,No Promo
2022-09-01,Corsair H100i,Liquid AIO Cooler,122.77,3%,1013,38777.97,0.35,No Promo
2022-09-01,NZXT Kraken X63,Liquid AIO Cooler,132.84,3%,911,35574.84,0.33,No Promo
2022-09-01,EKWB EK-KIT P240,Custom Liquid Cooler,234.2,1%,661,59624.35,0.4,No Promo
2022-09-01,Thermaltake Pacific CL360,Custom Liquid Cooler,286.28,2%,1054,118352.72,0.42,No Promo
2022-09-02,Noctua NH-D15,Air Cooler,85.98,2%,1306,30014.74,0.3,No Promo
2022-09-02,Dark Rock Pro 4,Air Cooler,78.33,1%,1176,24389.32,0.28,No Promo
2022-09-02,Corsair H100i,Liquid AIO Cooler,127.0,0%,975,41448.2,0.35,No Promo
2022-09-02,NZXT Kraken X63,Liquid AIO Cooler,134.14,3%,908,36636.88,0.33,No Promo
2022-09-02,EKWB EK-KIT P240,Custom Liquid Cooler,232.15,2%,661,58269.77,0.4,No Promo
2022-09-02,Thermaltake Pacific CL360,Custom Liquid Cooler,283.24,3%,1093,119401.21,0.42,No Promo
2022-09-03,Noctua NH-D15,Air Cooler,86.35,3%,1332,31106.69,0.3,No Promo
2022-09-03,Dark Rock Pro 4,Air Cooler,78.54,1%,1192,24970.38,0.28,No Promo
2022-09-03,Corsair H100i,Liquid AIO Cooler,122.69,3%,1037,39612.42,0.35,No Promo
2022-09-03,NZXT Kraken X63,Liquid AIO Cooler,135.35,1%,909,37772.22,0.33,No Promo
2022-09-03,EKWB EK-KIT P240,Custom Liquid Cooler,231.83,1%,655,57534.48,0.4,No Promo
2022-09-03,Thermaltake Pacific CL360,Custom Liquid Cooler,292.88,0%,1060,126023.6,0.42,No Promo
2022-09-04,Noctua NH-D15,Air Cooler,88.24,1%,1313,33152.5,0.3,No Promo
2022-09-04,Dark Rock Pro 4,Air Cooler,78.52,1%,1181,24719.51,0.28,No Promo
2022-09-04,Corsair H100i,Liquid AIO Cooler,125.34,2%,1014,41421.45,0.35,No Promo
2022-09-04,NZXT Kraken X63,Liquid AIO Cooler,135.13,2%,918,37950.95,0.33,No Promo
2022-09-04,EKWB EK-KIT P240,Custom Liquid Cooler,233.22,1%,672,59957.43,0.4,No Promo
2022-09-04,Thermaltake Pacific CL360,Custom Liquid Cooler,293.18,1%,1033,123119.98,0.42,No Promo
2022-09-05,Noctua NH-D15,Air Cooler,86.05,3%,1311,30221.92,0.3,No Promo
2022-09-05,Dark Rock Pro 4,Air Cooler,78.41,0%,1179,24539.07,0.28,No Promo
2022-09-05,Corsair H100i,Liquid AIO Cooler,126.7,1%,1019,43006.42,0.35,No Promo
2022-09-05,NZXT Kraken X63,Liquid AIO Cooler,135.83,2%,906,38088.13,0.33,No Promo
2022-09-05,EKWB EK-KIT P240,Custom Liquid Cooler,229.13,3%,689,58657.02,0.4,No Promo
2022-09-05,Thermaltake Pacific CL360,Custom Liquid Cooler,288.2,3%,1075,122766.59,0.42,No Promo
2022-09-06,Noctua NH-D15,Air Cooler,85.83,2%,1339,30574.34,0.3,No Promo
2022-09-06,Dark Rock Pro 4,Air Cooler,76.46,3%,1216,22948.1,0.28,No Promo
2022-09-06,Corsair H100i,Liquid AIO Cooler,126.95,1%,1018,43220.0,0.35,No Promo
2022-09-06,NZXT Kraken X63,Liquid AIO Cooler,135.11,2%,897,37060.36,0.33,No Promo
2022-09-06,EKWB EK-KIT P240,Custom Liquid Cooler,232.73,2%,656,58208.28,0.4,No Promo
2022-09-06,Thermaltake Pacific CL360,Custom Liquid Cooler,295.09,0%,1048,126907.56,0.42,No Promo
2022-09-07,Noctua NH-D15,Air Cooler,86.36,3%,1340,31317.31,0.3,No Promo
2022-09-07,Dark Rock Pro 4,Air Cooler,78.55,1%,1183,24793.16,0.28,No Promo
